"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"75222","consentA2.html","external-html","0","2.0.0","75254","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","","","","","","","","","","",""
"1838","","fullscreen","1","2.0.0","78098","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","true","","","","","","","","","","","",""
"2566","","survey-text","2","2.0.0","80669","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","demo","{""Q0"":""22""}","","","","","","","","","",""
"4935","","survey-multi-choice","3","2.0.0","85605","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","{""gender"":""m&aumlnnlich"",""handedness"":""links"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","87569","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","88619","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","89519","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"2285","","html-keyboard-response","7","2.0.0","91806","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"13351","","html-keyboard-response","8","2.0.0","105158","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achte genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Du musst nichts tun. Die Gesichter erscheinen von selbst und du brauchst nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücke eine beliebige Taste, um zu beginnen, wenn du bereit bist.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","106178","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","107182","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_62.jpg"">
      <p class=""person-name"">Florian</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","108198","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","109209","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_61.jpg"">
      <p class=""person-name"">Patrick</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","110233","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","111246","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_20.jpg"">
      <p class=""person-name"">Beate</p>
    ","","","",""
"null","","html-keyboard-response","15","2.0.0","112273","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","16","2.0.0","113282","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_79.jpg"">
      <p class=""person-name""> Bj�rn</p>
    ","","","",""
"null","","html-keyboard-response","17","2.0.0","114307","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","18","2.0.0","115317","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_70.jpg"">
      <p class=""person-name"">Artur</p>
    ","","","",""
"null","","html-keyboard-response","19","2.0.0","116338","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","20","2.0.0","117345","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_14.jpg"">
      <p class=""person-name"">Rene</p>
    ","","","",""
"null","","html-keyboard-response","21","2.0.0","118364","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","22","2.0.0","119374","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_40.jpg"">
      <p class=""person-name"">Jochen</p>
    ","","","",""
"null","","html-keyboard-response","23","2.0.0","120401","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","24","2.0.0","121412","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_35.jpg"">
      <p class=""person-name"">Anja</p>
    ","","","",""
"null","","html-keyboard-response","25","2.0.0","122439","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","26","2.0.0","123450","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_48.jpg"">
      <p class=""person-name"">Fiona</p>
    ","","","",""
"null","","html-keyboard-response","27","2.0.0","124476","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","28","2.0.0","125487","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_49.jpg"">
      <p class=""person-name"">Ingo</p>
    ","","","",""
"null","","html-keyboard-response","29","2.0.0","126510","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","30","2.0.0","127517","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_10.jpg"">
      <p class=""person-name"">Tabea</p>
    ","","","",""
"null","","html-keyboard-response","31","2.0.0","128541","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","32","2.0.0","129550","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_46.jpg"">
      <p class=""person-name"">Frieda</p>
    ","","","",""
"null","","html-keyboard-response","33","2.0.0","130573","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","34","2.0.0","131584","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_83.jpg"">
      <p class=""person-name"">Mathilda</p>
    ","","","",""
"null","","html-keyboard-response","35","2.0.0","132612","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","36","2.0.0","133621","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_71.jpg"">
      <p class=""person-name""> Olaf</p>
    ","","","",""
"null","","html-keyboard-response","37","2.0.0","134649","nuw94sgjyeumb4g","true","22","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
